,,ts,ts,id,popularity_score,popularity_diff
,,min,max,count,mean,
state,type,,,,,
Baden-Württemberg,shopping_mall,2020-03-27 15:00:00,2020-03-29 19:00:00,242,0.5738191980525308,-42.61808019474692
Baden-Württemberg,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,1150,0.6176436829115131,-38.23563170884869
Baden-Württemberg,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,2067,0.4102474266647166,-58.97525733352834
Bayern,park,2020-03-28 10:00:00,2020-03-29 15:00:00,17,1.054581721446544,5.458172144654405
Bayern,shopping_mall,2020-03-28 10:00:00,2020-03-29 18:00:00,278,0.42901265502993785,-57.09873449700622
Bayern,supermarket,2020-03-27 15:00:00,2020-03-28 18:00:00,2866,0.6215700493943348,-37.84299506056652
Bayern,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,942,0.29389731490305526,-70.61026850969448
Berlin,park,2020-03-28 10:00:00,2020-03-29 19:00:00,142,1.3331225766389265,33.31225766389265
Berlin,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,576,0.2387847790777719,-76.1215220922228
Brandenburg,shopping_mall,2020-03-28 10:00:00,2020-03-28 18:00:00,54,0.3068934858594376,-69.31065141405624
Brandenburg,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,670,0.7224284027253359,-27.75715972746641
Brandenburg,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,138,0.673035827996245,-32.69641720037551
Bremen,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,172,0.3289289693807943,-67.10710306192057
Hamburg,park,2020-03-28 10:00:00,2020-03-29 19:00:00,21,1.7039014710770912,70.39014710770913
Hamburg,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,1103,0.30631303961365447,-69.36869603863455
Hessen,park,2020-03-28 10:00:00,2020-03-29 19:00:00,42,2.6338885141369817,163.38885141369818
Hessen,shopping_mall,2020-03-28 10:00:00,2020-03-29 19:00:00,169,0.2902334300285583,-70.97665699714418
Hessen,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,1024,0.6559825548193757,-34.40174451806243
Hessen,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,710,0.45509230771595743,-54.490769228404254
Mecklenburg-Vorpommern,shopping_mall,2020-03-28 10:00:00,2020-03-29 09:00:00,26,0.7494815831287073,-25.051841687129272
Mecklenburg-Vorpommern,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,226,0.6995648722441653,-30.04351277558347
Mecklenburg-Vorpommern,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,515,0.48778278957572324,-51.22172104242768
Niedersachsen,shopping_mall,2020-03-27 15:00:00,2020-03-29 19:00:00,252,0.3380414484719608,-66.19585515280392
Niedersachsen,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,1707,0.6322555936309585,-36.774440636904146
Niedersachsen,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,760,0.42147788911857964,-57.852211088142035
Nordrhein-Westfalen,park,2020-03-28 10:00:00,2020-03-29 19:00:00,41,2.364474549930049,136.4474549930049
Nordrhein-Westfalen,shopping_mall,2020-03-28 10:00:00,2020-03-29 15:00:00,213,0.42563862548438386,-57.43613745156162
Nordrhein-Westfalen,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,1269,0.681848288887977,-31.8151711112023
Nordrhein-Westfalen,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,8338,0.3822940780541228,-61.770592194587714
Rheinland-Pfalz,shopping_mall,2020-03-28 10:00:00,2020-03-29 19:00:00,102,0.47753694266338564,-52.24630573366144
Rheinland-Pfalz,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,1197,0.6492461985604909,-35.07538014395091
Rheinland-Pfalz,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,790,0.4123757712982498,-58.762422870175016
Saarland,shopping_mall,2020-03-27 15:00:00,2020-03-28 18:00:00,39,0.25650354847734025,-74.34964515226598
Saarland,supermarket,2020-03-27 15:00:00,2020-03-28 18:00:00,235,0.6235976284092382,-37.640237159076186
Saarland,transit_station,2020-03-27 15:00:00,2020-03-29 19:00:00,56,0.27879057275853486,-72.1209427241465
Sachsen,park,2020-03-28 10:00:00,2020-03-29 19:00:00,41,1.9066804728279592,90.66804728279591
Sachsen,shopping_mall,2020-03-28 10:00:00,2020-03-28 18:00:00,45,0.2702364330925077,-72.97635669074923
Sachsen,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,345,0.6728595835395038,-32.714041646049616
Sachsen,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,651,0.42708948234436306,-57.291051765563694
Sachsen-Anhalt,shopping_mall,2020-03-27 15:00:00,2020-03-28 17:00:00,55,0.3731319596493298,-62.68680403506701
Sachsen-Anhalt,supermarket,2020-03-27 15:00:00,2020-03-28 18:00:00,557,0.6372636665429067,-36.273633345709335
Sachsen-Anhalt,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,351,0.3453840982289622,-65.46159017710377
Schleswig-Holstein,shopping_mall,2020-03-27 15:00:00,2020-03-28 19:00:00,109,0.3881085042002187,-61.18914957997813
Schleswig-Holstein,supermarket,2020-03-27 15:00:00,2020-03-28 19:00:00,638,0.6575780208163183,-34.24219791836817
Schleswig-Holstein,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,293,0.3545394810977576,-64.54605189022425
Thüringen,shopping_mall,2020-03-27 15:00:00,2020-03-29 15:00:00,141,0.42727061421779144,-57.27293857822085
Thüringen,supermarket,2020-03-27 15:00:00,2020-03-28 18:00:00,874,0.6588571610725783,-34.11428389274217
Thüringen,transit_station,2020-03-22 12:00:00,2020-03-29 19:00:00,509,0.46942844374250053,-53.05715562574995
