date_2020,pedestrians_count_2019,pedestrians_count_2020,diff_perc
2020-03-16,24014.454545454544,17561.659090909092,-26.87046437940785
2020-03-17,26179.204545454544,12877.431818181818,-50.8104541686019
2020-03-18,26897.045454545456,9298.65909090909,-65.42869696739251
2020-03-19,28449.272727272728,6942.931818181818,-75.59539786925373
2020-03-20,34511.25,5581.613636363636,-83.82668365717372
2020-03-21,50363.63636363636,3244.409090909091,-93.55803249097472
2020-03-22,10720.613636363636,2174.159090909091,-79.71982607847667
2020-03-23,21181.022727272728,4486.818181818182,-78.81680106012564
2020-03-24,23420.93181818182,4541.704545454545,-80.60835247413686
2020-03-25,25645.204545454544,4437.931818181818,-82.69488624933422
2020-03-26,28299.590909090908,4514.340909090909,-84.0480347451216
2020-03-27,37539.068181818184,4851.795454545455,-87.07534392956671
2020-03-28,55848.52272727273,4669.045454545455,-91.63980491060437
