date_2020,pedestrians_count_2019,pedestrians_count_2020
2020-03-16,35387.666666666664,26938.0
2020-03-17,39369.666666666664,17876.333333333332
2020-03-18,39673.666666666664,13608.666666666666
2020-03-19,42000.0,10025.666666666666
2020-03-20,49690.333333333336,7376.666666666667
2020-03-21,63416.666666666664,5762.0
2020-03-22,12627.333333333334,5195.666666666667
2020-03-23,32087.666666666668,8597.333333333334
2020-03-24,34787.333333333336,7460.333333333333
2020-03-25,38850.666666666664,6955.333333333333
2020-03-26,45192.0,7530.333333333333
2020-03-27,55950.0,6279.666666666667
2020-03-28,72332.33333333333,5859.333333333333
